,Unnamed: 0,date,title,class,viewCount,commentCount,likeCount,dislikeCount,ratio,sentiment,magnitude
122,122,2013-02-01,Joe Rogan Experience #141 Duncan Trussell,2,23961,35,305,8,38.125,0.22843750000000004,50.3109375
123,123,2013-02-01,"Joe Rogan Experience #142 - Graham Hancock, Duncan Trussell",2,626089,1410,8043,403,19.957816377171216,0.1831643356643356,45.19557692307693
124,124,2013-02-01,Joe Rogan Experience #143 - Mayhem Miller,1,62702,148,398,24,16.583333333333332,0.10013513513513514,49.044391891891905
125,125,2013-02-01,Joe Rogan Experience #144 - Eddie Bravo,1,35228,109,362,16,22.625,0.12582524271844667,34.253203883495146
126,126,2013-02-01,Joe Rogan Experience #145 Bert Kreischer,2,37513,120,335,26,12.884615384615385,0.13341666666666666,46.49308333333336
127,127,2013-02-01,Joe Rogan Experience #146 - Ari Shaffir,2,21780,36,179,12,14.916666666666664,0.16194444444444445,43.16916666666666
128,128,2013-02-01,Joe Rogan Experience #147 - Duncan Trussell,2,81940,272,719,45,15.977777777777774,0.12645833333333328,44.234875
129,129,2013-02-01,Joe Rogan Experience #148 - Kevin Pereira,4,23217,62,270,11,24.54545454545455,0.15096774193548387,57.01145161290325
130,130,2013-02-01,Joe Rogan Experience #150 - Bryan Callen (Part One),2,26252,42,270,10,27.0,0.17404761904761906,36.75595238095238
131,131,2013-02-01,Joe Rogan Experience #150 - Bryan Callen (Part Two),2,8214,6,94,1,94.0,0.125,45.93
132,132,2013-02-11,Joe Rogan Experience #151 - Josh McDermitt,2,9442,21,94,2,47.0,0.18095238095238092,31.807142857142853
133,133,2013-02-11,Joe Rogan Experience #152 - Brian Redban,2,11058,23,133,11,12.090909090909092,0.2056521739130435,32.16826086956521
134,134,2013-02-11,Joe Rogan Experience #153 - Joey Diaz,2,114695,191,1022,69,14.81159420289855,0.15741573033707862,39.155898876404464
135,135,2013-02-11,Joe Rogan Experience #154 - Sam Tripoli,2,9974,23,119,7,17.0,-0.012499999999999994,51.69649999999999
136,136,2013-02-11,Joe Rogan Experience #155 - Dave Attell,2,44052,51,327,15,21.8,0.1518,50.1664
137,137,2013-02-11,Joe Rogan Experience #156 - Duncan Trussell,2,114147,338,967,58,16.67241379310345,0.15539184952978055,44.154231974921615
138,138,2013-02-11,"Joe Rogan Experience #157 - Tom Segura, Christina Pazsitzky",2,45669,82,410,18,22.777777777777786,0.12835443037974684,41.93797468354431
139,139,2013-02-11,Joe Rogan Experience #158 - Doug Benson,2,40794,97,308,16,19.25,0.2195384615384616,44.99076923076922
140,140,2013-02-11,Joe Rogan Experience #159 -- Nick Thune,2,11612,19,102,4,25.5,0.20277777777777786,37.83777777777778
141,141,2013-02-11,Joe Rogan Experience #161 - Bert Kreischer,2,75309,110,577,45,12.822222222222226,0.14613861386138607,40.423366336633656
142,142,2013-02-11,Joe Rogan Experience #162 -- Daniele Bolelli,0,18669,29,218,5,43.6,0.13793103448275865,35.17896551724138
143,143,2013-02-11,Joe Rogan Experience #163 - Doug Stanhope & Joey Diaz,2,308205,603,2690,109,24.678899082568808,0.16757042253521134,36.91813380281689
144,144,2013-02-11,Joe Rogan Experience #165  - Bruce Lipton PHD (PART ONE),3,57419,215,790,14,56.42857142857143,0.16835748792270527,57.28342995169082
145,145,2013-02-11,Joe Rogan Experience #165  - Bruce Lipton PHD (Part Two),3,14549,19,125,2,62.5,0.18789473684210525,40.93315789473685
146,146,2013-03-05,Joe Rogan Experience #166 - Duncan Trussell,2,49500,99,612,24,25.5,0.1633720930232558,38.991511627906974
147,147,2013-03-05,Joe Rogan Experience #167 - Aubrey Marcus,0,19852,41,173,12,14.416666666666664,0.23634146341463425,40.93707317073172
148,148,2013-03-05,Joe Rogan Experience #170 - Michael Ruppert,4,87005,374,1022,55,18.581818181818182,0.1280289855072464,44.90046376811594
149,149,2013-03-17,Joe Rogan Experience #171 - EverLast (Part 1),4,11324,22,109,2,54.5,0.12636363636363634,39.76499999999999
