date,Unnamed: 0,commentCount,date,dislikeCount,likeCount,title,viewCount,ratio,class,sentiment,magnitude
2013-01-23,114,4,2013-01-23,2,43,Joe Rogan Experience #136 - Daniel Pinchbeck (Part 2),6433,21.5,0,0.185,22.755000000000003
2013-01-23,115,32,2013-01-23,5,105,Joe Rogan Experience #136 - Daniel Pinchbeck (Part 3),9569,21.0,0,0.1790625,44.086875000000006
2013-01-23,116,47,2013-01-23,16,375,Joe Rogan Experience #137 - Tim Ferriss,36572,23.4375,0,0.12702127659574466,39.81914893617022
2013-01-23,117,1382,2013-01-23,252,5051,Joe Rogan Experience #138 - Anthony Bourdain,501671,20.043650793650794,0,0.11985726280436612,38.94844668345925
2013-01-23,118,194,2013-01-23,34,673,Joe Rogan Experience #139 - Duncan Trussell,67627,19.794117647058822,2,0.13094972067039096,44.63977653631285
2013-01-23,119,4,2013-01-23,0,62,Joe Rogan Experience #140 - Brendon Walsh (Part 1),5667,inf,2,0.16000000000000003,14.14
2013-01-23,120,14,2013-01-23,2,71,Joe Rogan Experience #140 - Brendon Walsh (Part 2),8211,35.5,2,0.16428571428571428,37.75785714285714
2013-01-23,121,9,2013-01-23,4,70,Joe Rogan Experience #140 - Brendon Walsh (Part 3),7379,17.5,2,-0.06333333333333332,33.05222222222223
2013-02-01,122,35,2013-02-01,8,305,Joe Rogan Experience #141 Duncan Trussell,23961,38.125,2,0.22843750000000004,50.3109375
2013-02-01,123,1410,2013-02-01,403,8043,"Joe Rogan Experience #142 - Graham Hancock, Duncan Trussell",626089,19.957816377171216,2,0.18316433566433557,45.19557692307692
2013-02-01,124,148,2013-02-01,24,398,Joe Rogan Experience #143 - Mayhem Miller,62702,16.583333333333332,1,0.10013513513513514,49.044391891891905
2013-02-01,125,109,2013-02-01,16,362,Joe Rogan Experience #144 - Eddie Bravo,35228,22.625,2,0.12582524271844667,34.253203883495146
2013-02-01,126,120,2013-02-01,26,335,Joe Rogan Experience #145 Bert Kreischer,37513,12.884615384615385,2,0.13341666666666663,46.49308333333336
2013-02-01,127,36,2013-02-01,12,179,Joe Rogan Experience #146 - Ari Shaffir,21780,14.916666666666666,2,0.16194444444444445,43.16916666666666
2013-02-01,128,272,2013-02-01,45,719,Joe Rogan Experience #147 - Duncan Trussell,81940,15.977777777777778,2,0.12645833333333328,44.234874999999995
2013-02-01,129,62,2013-02-01,11,270,Joe Rogan Experience #148 - Kevin Pereira,23217,24.545454545454547,0,0.15096774193548387,57.011451612903244
2013-02-01,130,42,2013-02-01,10,270,Joe Rogan Experience #150 - Bryan Callen (Part One),26252,27.0,2,0.17404761904761906,36.75595238095238
2013-02-01,131,6,2013-02-01,1,94,Joe Rogan Experience #150 - Bryan Callen (Part Two),8214,94.0,2,0.125,45.93
2013-02-11,132,21,2013-02-11,2,94,Joe Rogan Experience #151 - Josh McDermitt,9442,47.0,2,0.18095238095238098,31.80714285714286
2013-02-11,133,23,2013-02-11,11,133,Joe Rogan Experience #152 - Brian Redban,11058,12.090909090909092,2,0.2056521739130435,32.16826086956521
2013-02-11,134,191,2013-02-11,69,1022,Joe Rogan Experience #153 - Joey Diaz,114695,14.81159420289855,2,0.15741573033707862,39.15589887640447
2013-02-11,135,23,2013-02-11,7,119,Joe Rogan Experience #154 - Sam Tripoli,9974,17.0,2,-0.012499999999999994,51.69649999999999
2013-02-11,136,51,2013-02-11,15,327,Joe Rogan Experience #155 - Dave Attell,44052,21.8,2,0.1518,50.1664
2013-02-11,137,338,2013-02-11,58,967,Joe Rogan Experience #156 - Duncan Trussell,114147,16.67241379310345,2,0.15539184952978055,44.15423197492162
2013-02-11,138,82,2013-02-11,18,410,"Joe Rogan Experience #157 - Tom Segura, Christina Pazsitzky",45669,22.77777777777778,2,0.12835443037974686,41.93797468354431
2013-02-11,139,97,2013-02-11,16,308,Joe Rogan Experience #158 - Doug Benson,40794,19.25,2,0.2195384615384616,44.990769230769224
2013-02-11,140,19,2013-02-11,4,102,Joe Rogan Experience #159 -- Nick Thune,11612,25.5,2,0.20277777777777783,37.83777777777778
2013-02-11,141,110,2013-02-11,45,577,Joe Rogan Experience #161 - Bert Kreischer,75309,12.822222222222223,2,0.14613861386138607,40.42336633663366
2013-02-11,142,29,2013-02-11,5,218,Joe Rogan Experience #162 -- Daniele Bolelli,18669,43.6,1,0.13793103448275865,35.17896551724138
2013-02-11,143,603,2013-02-11,109,2690,Joe Rogan Experience #163 - Doug Stanhope & Joey Diaz,308205,24.678899082568808,2,0.16757042253521134,36.91813380281689
2013-02-11,144,215,2013-02-11,14,790,Joe Rogan Experience #165  - Bruce Lipton PHD (PART ONE),57419,56.42857142857143,0,0.16835748792270527,57.28342995169082
2013-02-11,145,19,2013-02-11,2,125,Joe Rogan Experience #165  - Bruce Lipton PHD (Part Two),14549,62.5,0,0.18789473684210525,40.933157894736844
2013-03-05,146,99,2013-03-05,24,612,Joe Rogan Experience #166 - Duncan Trussell,49500,25.5,2,0.1633720930232558,38.99151162790697
2013-03-05,147,41,2013-03-05,12,173,Joe Rogan Experience #167 - Aubrey Marcus,19852,14.416666666666666,0,0.23634146341463422,40.937073170731715
2013-03-05,148,374,2013-03-05,55,1022,Joe Rogan Experience #170 - Michael Ruppert,87005,18.581818181818182,0,0.1280289855072464,44.90046376811594
2013-03-17,149,22,2013-03-17,2,109,Joe Rogan Experience #171 - EverLast (Part 1),11324,54.5,0,0.12636363636363637,39.76499999999999
2013-03-18,150,41,2013-03-18,5,197,Joe Rogan Experience #172 - Bryan Callen,18103,39.4,2,0.10975609756097561,44.261219512195126
2013-03-18,151,406,2013-03-18,50,1083,Joe Rogan Experience #173 - Peter Joseph,65738,21.66,0,0.16225433526011568,48.382947976878604
2013-03-18,152,24,2013-03-18,8,124,Joe Rogan Experience #175 - Ari Shaffir,13032,15.5,2,0.17833333333333334,41.65875
2013-03-28,153,217,2013-03-28,77,1129,Joe Rogan Experience #176 -- Steven Rinella,154389,14.662337662337663,0,0.1741791044776119,50.58736318407962
2013-03-28,154,895,2013-03-28,140,2159,Joe Rogan Experience #177 - Hamilton Morris,248044,15.42142857142857,3,0.14585820895522392,47.07104477611937
2013-03-28,155,226,2013-03-28,70,1096,Joe Rogan Experience #178 - Joey Diaz,132553,15.657142857142857,2,0.15453201970443348,37.5692118226601
2013-03-28,156,167,2013-03-28,37,679,Joe Rogan Experience #179 - Duncan Trussell,56349,18.35135135135135,2,0.15396694214876028,37.44628099173553
2013-03-28,157,166,2013-03-28,70,941,"Joe Rogan Experience #180 - Joey Diaz, Eddie Bravo, Denny Prokopos",116312,13.442857142857143,2,0.13234567901234567,41.58030864197531
2013-03-28,158,145,2013-03-28,45,412,Joe Rogan Experience #181 - Iliza Shlesinger,67123,9.155555555555555,2,0.12064748201438844,42.68510791366907
2013-04-09,159,727,2013-04-09,91,1514,"Joe Rogan Experience #184 - DEADMAU5, Russell Peters, Eddie Bravo",182686,16.63736263736264,2,0.10791604197901047,41.48352323838085
2013-04-09,160,47,2013-04-09,20,356,Joe Rogan Experience #185 - Tom Segura,40923,17.8,2,0.1317021276595745,41.5436170212766
2013-04-09,161,23,2013-04-09,11,159,Joe Rogan Experience #186 - Ari Shaffir,18502,14.454545454545455,2,0.13478260869565215,52.52
2013-04-09,162,29,2013-04-09,12,176,Joe Rogan Experience #187 - Daniele Bolelli,15755,14.666666666666666,1,0.16296296296296298,36.81407407407408
2013-04-09,163,47,2013-04-09,35,160,Joe Rogan Experience #188 - Amy Schumer,20074,4.571428571428571,2,0.2195744680851063,34.51234042553191
2013-04-09,164,73,2013-04-09,28,210,Joe Rogan Experience #189 -- B-Real,23611,7.5,0,0.15142857142857144,32.65428571428571
2013-04-10,165,41,2013-04-10,11,241,Joe Rogan Experience #190 - Greg Fitzsimmons,25997,21.90909090909091,2,0.15775,24.612499999999994
